free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,W_ID
6.0,17.0,0.9964,3.15,0.92,11.7,8,481
6.0,18.0,0.9986,3.04,1.05,9.4,5,482
7.0,18.0,0.9986,3.04,1.06,9.4,5,483
6.0,24.0,0.997,3.06,0.66,13.4,6,484
6.0,17.0,0.9976,3.17,0.47,10.0,5,485
6.0,17.0,0.9976,3.17,0.47,10.0,5,486
5.0,14.0,0.9982,3.17,0.42,10.0,6,487
35.0,67.0,1.0002,3.32,0.92,10.8,7,488
10.0,26.0,0.9984,3.34,0.75,10.2,6,489
24.0,56.0,0.9984,3.31,0.67,10.6,6,490
12.0,25.0,0.9952,3.34,0.79,13.3,7,491
13.0,27.0,0.995,3.32,0.9,13.4,7,492
23.0,81.0,1.0002,3.48,0.74,11.6,6,493
28.0,91.0,0.9952,3.44,0.55,12.1,6,494
5.0,16.0,0.9972,3.15,0.65,11.0,8,495
14.0,38.0,0.9984,3.43,0.65,9.0,6,496
43.0,113.0,0.9966,3.32,0.79,11.1,5,497
5.0,16.0,0.9972,3.15,0.65,11.0,8,498
23.0,81.0,1.0002,3.48,0.74,11.6,6,499
14.0,38.0,0.9984,3.43,0.65,9.0,6,500
38.0,76.0,0.999,3.17,0.85,12.0,7,501
38.0,76.0,0.999,3.17,0.85,12.0,7,502
6.0,24.0,0.9976,3.18,1.04,10.9,7,503
6.0,22.0,0.9976,3.21,1.05,10.8,7,504
10.0,26.0,0.9968,3.16,0.78,12.5,7,505
6.0,21.0,0.9976,3.25,1.02,10.8,7,506
6.0,13.0,1.0,3.17,0.71,9.5,6,507
26.0,62.0,0.9994,3.18,0.63,10.2,6,508
23.0,43.0,0.9986,3.04,0.68,11.4,7,509
19.0,43.0,0.9978,3.02,0.61,9.5,5,510
26.0,62.0,0.9994,3.18,0.63,10.2,6,511
15.0,49.0,0.998,3.03,0.81,9.7,6,512
6.0,15.0,0.9973,3.09,0.66,11.8,7,513
6.0,15.0,0.9973,3.09,0.66,11.8,7,514
34.0,151.0,1.001,3.31,1.14,9.3,5,515
5.0,14.0,1.001,3.25,0.74,11.9,6,516
5.0,16.0,0.9994,3.16,0.63,8.4,3,517
11.0,32.0,0.9972,3.22,0.68,11.7,6,518
39.0,106.0,0.9966,3.36,0.78,11.0,5,519
15.0,33.0,0.9982,3.42,0.9,10.0,6,520
16.0,43.0,0.998,3.48,0.64,9.1,5,521
47.0,133.0,0.9979,3.38,0.99,9.8,5,522
38.0,142.0,0.9978,3.22,0.55,9.4,5,523
23.0,116.0,0.9976,3.23,0.64,9.5,5,524
29.0,53.0,0.9998,3.24,0.67,9.9,5,525
39.0,106.0,0.9966,3.36,0.78,11.0,5,526
33.0,85.0,0.9962,3.39,0.77,11.4,6,527
32.0,55.0,0.9988,3.34,0.75,8.7,6,528
6.0,33.0,0.9974,3.09,0.57,9.4,5,529
1.0,28.0,0.999,3.41,0.87,10.3,6,530
12.0,42.0,1.0004,3.16,0.61,10.3,5,531
12.0,42.0,1.0004,3.16,0.61,10.3,5,532
15.0,33.0,0.9956,3.22,0.66,12.8,6,533
13.0,32.0,1.0,3.28,0.56,10.0,6,534
1.0,28.0,0.999,3.41,0.87,10.3,6,535
6.0,33.0,0.9974,3.09,0.57,9.4,5,536
5.0,13.0,0.9972,3.37,0.77,10.7,6,537
5.0,35.0,1.0014,3.2,0.66,12.0,7,538
5.0,17.0,0.9996,3.22,0.62,11.2,5,539
20.0,47.0,0.9988,3.26,0.67,9.6,5,540
5.0,17.0,0.9988,3.21,0.73,11.0,6,541
5.0,20.0,0.9966,3.12,0.59,9.9,5,542
16.0,53.0,0.9993,3.06,0.72,11.0,6,543
6.0,15.0,1.0008,2.86,0.79,8.4,6,544
38.0,106.0,0.9982,3.08,0.59,9.1,5,545
10.0,28.0,0.9983,3.45,0.78,9.5,6,546
6.0,21.0,0.9987,3.26,0.86,10.7,6,547
27.0,69.0,0.9994,3.12,0.75,10.4,6,548
6.0,25.0,0.9975,3.27,0.61,9.4,6,549
9.0,25.0,0.9958,3.33,0.56,9.5,6,550
14.0,45.0,0.998,3.19,0.73,10.0,6,551
14.0,44.0,0.998,3.12,0.74,10.0,6,552
32.0,96.0,0.9934,3.74,0.62,11.5,5,553
10.0,23.0,1.00315,2.92,0.74,11.1,5,554
10.0,23.0,1.00315,2.92,0.74,11.1,5,555
10.0,17.0,1.0002,3.07,0.56,11.7,6,556
10.0,23.0,1.00315,2.92,0.74,11.1,5,557
10.0,17.0,1.0002,3.07,0.56,11.7,6,558
6.0,47.0,1.0021,3.3,0.68,12.7,6,559
5.0,19.0,0.9994,3.14,0.57,11.4,5,560
26.0,121.0,0.9978,3.23,0.58,9.2,5,561
41.0,110.0,0.9982,3.08,0.61,9.2,5,562
25.0,60.0,0.9971,3.31,0.61,10.1,6,563
6.0,47.0,1.0021,3.3,0.68,12.7,6,564
5.0,19.0,0.9994,3.14,0.57,11.4,5,565
5.0,15.0,0.9991,3.32,0.6,9.0,6,566
5.0,15.0,0.9991,3.32,0.6,9.0,6,567
5.0,20.0,0.999,3.31,0.79,10.7,6,568
19.0,42.0,0.9946,3.57,0.57,11.7,6,569
10.0,37.0,1.0003,3.32,0.91,11.0,6,570
19.0,42.0,0.9946,3.57,0.57,11.7,6,571
10.0,28.0,0.9978,3.14,0.61,10.4,5,572
14.0,47.0,0.9991,3.3,0.56,9.6,4,573
20.0,78.0,0.9992,3.19,0.7,10.0,6,574
28.0,46.0,0.9993,3.2,0.8,10.2,6,575
6.0,14.0,0.9978,3.34,0.52,10.0,4,576
18.0,111.0,0.9982,3.3,0.6,9.5,5,577
17.0,110.0,0.9982,3.29,0.6,9.8,5,578
18.0,40.0,0.9976,3.14,0.51,9.8,6,579
5.0,14.0,1.0002,3.19,0.44,9.6,5,580
5.0,14.0,1.0002,3.19,0.44,9.6,5,581
5.0,15.0,1.0,3.19,0.43,9.2,5,582
10.0,21.0,0.9976,2.98,0.66,9.9,7,583
54.0,80.0,1.0002,3.3,0.76,10.7,7,584
8.0,38.0,0.998,3.47,0.66,9.6,6,585
16.0,47.0,0.9986,3.12,1.02,10.6,7,586
18.0,102.0,0.9967,3.26,0.59,9.3,5,587
19.0,50.0,0.9917,3.72,0.74,14.0,8,588
5.0,13.0,0.9976,3.05,0.74,10.5,7,589
21.0,75.0,0.9987,3.35,0.57,9.7,5,590
23.0,149.0,0.9922,3.12,0.5,11.5,6,591
21.0,75.0,0.9987,3.35,0.57,9.7,5,592
9.0,43.0,1.0004,3.29,0.58,9.0,5,593
20.0,38.0,0.9978,3.4,0.53,9.5,5,594
30.0,109.0,0.9998,3.27,0.57,9.3,5,595
6.0,24.0,0.9994,3.04,0.6,9.3,6,596
5.0,18.0,0.998,3.09,0.63,10.0,6,597
5.0,30.0,0.9967,3.2,0.48,9.8,6,598
11.0,22.0,1.0,3.0,0.7,9.3,6,599
7.0,23.0,0.9962,3.26,0.47,10.0,4,600
12.0,35.0,1.0006,3.1,0.56,9.0,6,601
6.0,14.0,0.9975,3.3,0.52,9.3,5,602
12.0,35.0,1.0006,3.1,0.56,9.0,6,603
14.0,63.0,0.9984,3.17,0.62,9.1,6,604
6.0,24.0,0.9984,3.31,0.59,9.2,6,605
10.0,20.0,0.9973,3.34,0.79,12.2,7,606
26.0,52.0,0.9982,3.31,0.53,10.5,6,607
11.0,65.0,1.0026,3.32,0.64,10.4,6,608
15.0,39.0,0.9956,3.56,0.52,12.7,6,609
25.0,57.0,0.9983,3.39,0.54,9.2,5,610
5.0,16.0,1.0006,2.98,0.54,9.4,5,611
18.0,29.0,0.9965,3.32,0.6,10.0,6,612
10.0,29.0,0.9962,3.26,0.74,9.8,5,613
10.0,103.0,0.9969,2.87,1.36,10.2,6,614
28.0,71.0,0.9997,3.5,0.57,9.7,5,615
28.0,71.0,0.9997,3.5,0.57,9.7,5,616
14.0,28.0,0.9982,3.03,0.93,9.8,6,617
4.0,17.0,1.0006,3.13,0.7,10.2,5,618
6.0,16.0,0.9988,3.09,0.8,9.3,5,619
16.0,112.0,0.9976,3.27,0.61,9.4,5,620
14.0,104.0,0.9976,3.28,0.62,9.4,5,621
9.0,32.0,0.9974,3.13,0.55,9.5,5,622
21.0,45.0,0.9974,3.49,0.96,12.1,6,623
21.0,58.0,0.9997,3.46,0.72,10.2,5,624
21.0,58.0,0.9997,3.46,0.72,10.2,5,625
5.0,15.0,0.9988,3.36,0.49,9.1,5,626
5.0,15.0,0.9988,3.36,0.49,9.1,5,627
7.0,31.0,0.9976,3.27,0.6,9.3,6,628
20.0,84.0,0.9964,3.21,0.61,9.3,5,629
7.0,31.0,0.9976,3.27,0.6,9.3,6,630
5.0,19.0,0.9988,3.25,0.63,9.5,5,631
21.0,43.0,0.9964,3.32,0.57,10.5,6,632
11.0,86.0,1.001,3.43,0.64,11.3,4,633
46.0,102.0,0.9964,3.27,0.58,9.5,5,634
24.0,33.0,0.9954,3.27,0.55,9.7,5,635
30.0,147.0,0.9979,3.24,0.53,9.4,5,636
31.0,145.0,0.9978,3.24,0.53,9.4,5,637
7.0,23.0,0.9964,3.35,0.65,10.2,7,638
25.0,57.0,0.997,3.18,1.36,10.3,6,639
16.0,40.0,0.9991,3.39,0.62,9.4,5,640
21.0,68.0,0.9992,3.46,0.63,9.5,5,641
16.0,40.0,0.9991,3.39,0.62,9.4,5,642
21.0,68.0,0.9992,3.46,0.63,9.5,5,643
16.0,40.0,0.9991,3.39,0.62,9.4,5,644
5.0,11.0,0.9984,3.37,0.69,10.1,7,645
6.0,20.0,0.9972,3.4,0.63,10.1,5,646
5.0,14.0,0.9967,3.32,0.58,11.0,4,647
10.0,28.0,0.9964,3.33,0.67,11.2,7,648
24.0,148.0,0.9948,3.16,0.57,11.3,6,649
8.0,32.0,0.9986,2.89,0.5,9.6,5,650
35.0,155.0,1.001,3.41,0.67,11.2,5,651
22.0,71.0,0.9976,2.98,0.84,14.9,5,652
9.0,30.0,0.9976,3.12,0.54,12.0,6,653
7.0,29.0,0.9979,3.08,0.46,9.5,5,654
20.0,53.0,1.0004,3.14,0.61,9.4,5,655
8.0,32.0,0.9986,2.89,0.5,9.6,5,656
23.0,42.0,0.998,2.92,0.68,10.5,7,657
5.0,20.0,0.9973,3.32,0.81,9.6,6,658
5.0,13.0,0.997,3.41,0.57,11.0,4,659
5.0,20.0,0.9973,3.32,0.81,9.6,6,660
15.0,42.0,0.9978,3.31,0.64,9.0,5,661
9.0,27.0,0.9972,3.36,0.7,9.6,6,662
5.0,13.0,0.9974,3.04,0.79,10.2,6,663
15.0,54.0,1.0,3.03,0.66,10.2,5,664
25.0,48.0,0.9981,3.14,0.56,9.7,5,665
6.0,16.0,0.998,3.18,0.6,9.5,6,666
6.0,15.0,0.9988,2.94,0.66,9.2,6,667
15.0,31.0,0.9966,3.15,0.57,11.0,5,668
6.0,15.0,0.9988,2.94,0.66,9.2,6,669
30.0,45.0,0.9959,3.26,0.58,10.0,5,670
5.0,13.0,0.9968,3.2,0.52,9.5,5,671
32.0,151.0,0.998,3.15,0.53,9.5,5,672
5.0,13.0,0.9968,3.2,0.52,9.5,5,673
7.0,17.0,0.9984,3.08,0.67,9.3,6,674
12.0,31.0,0.9984,3.26,0.65,10.2,5,675
7.0,17.0,0.9984,3.08,0.67,9.3,6,676
12.0,31.0,0.9979,3.4,0.48,9.9,5,677
45.0,87.0,0.9983,3.48,0.53,10.0,5,678
20.0,49.0,0.9972,3.13,0.54,9.6,5,679
15.0,40.0,1.0004,3.06,0.49,9.0,5,680
16.0,29.0,0.9962,3.21,0.49,10.2,6,681
32.0,58.0,0.998,3.33,0.54,9.8,5,682
5.0,15.0,0.997,3.37,0.56,11.3,5,683
35.0,152.0,0.998,3.25,0.48,9.4,5,684
5.0,15.0,0.997,3.37,0.56,11.3,5,685
13.0,40.0,0.997,3.44,0.6,9.1,5,686
13.0,38.0,0.9998,3.28,0.59,9.7,5,687
4.0,9.0,0.9962,3.4,0.47,9.4,5,688
5.0,17.0,0.9976,3.3,1.05,9.4,5,689
5.0,14.0,0.9966,3.63,0.54,10.7,3,690
12.0,93.0,0.9998,3.48,0.54,9.8,5,691
16.0,62.0,0.9979,3.03,1.17,9.0,5,692
21.0,122.0,0.9984,3.32,0.62,9.4,5,693
24.0,125.0,0.9984,3.31,0.61,9.4,5,694
18.0,44.0,0.9921,3.9,0.62,12.8,6,695
8.0,25.0,0.9972,3.47,0.67,9.5,6,696
8.0,25.0,0.9972,3.47,0.67,9.5,6,697
18.0,72.0,1.0001,3.31,0.53,9.7,5,698
5.0,19.0,0.9986,3.11,0.62,10.8,6,699
26.0,88.0,0.9984,3.08,0.57,10.1,6,700
8.0,25.0,0.9972,3.47,0.67,9.5,6,701
9.0,23.0,0.997,3.47,0.67,9.4,6,702
22.0,84.0,0.9972,3.32,0.7,9.6,4,703
4.0,14.0,0.998,3.29,0.54,9.7,4,704
11.0,54.0,0.999,3.37,0.49,9.9,5,705
10.0,19.0,0.9956,3.4,0.47,10.0,5,706
16.0,37.0,0.9966,3.37,0.51,10.5,5,707
11.0,35.0,0.996,3.34,0.61,11.6,6,708
13.0,33.0,0.9983,3.27,0.66,10.0,6,709
21.0,84.0,0.9985,3.06,0.57,10.1,5,710
16.0,112.0,0.9998,3.38,0.61,9.5,5,711
13.0,33.0,0.9992,3.36,0.45,9.4,5,712
10.0,48.0,0.9976,3.34,0.46,9.4,5,713
21.0,77.0,0.998,3.28,0.51,9.8,5,714
13.0,34.0,0.9967,3.29,0.48,9.2,6,715
10.0,48.0,0.9976,3.34,0.46,9.4,5,716
12.0,49.0,0.9968,3.21,0.57,10.0,5,717
10.0,22.0,0.9976,3.22,0.44,9.6,5,718
17.0,45.0,0.9976,3.46,0.54,9.5,5,719
10.0,22.0,0.9976,3.22,0.44,9.6,5,720
35.0,106.0,0.9982,3.1,0.53,9.2,5,721
15.0,48.0,0.9968,3.21,0.59,10.0,5,722
36.0,127.0,0.9965,2.94,1.62,9.5,5,723
5.0,12.0,0.9958,3.54,0.6,11.2,4,724
5.0,13.0,0.9976,3.29,0.55,10.4,5,725
18.0,49.0,0.9994,3.43,0.72,11.1,6,726
4.0,11.0,0.997,3.46,0.68,9.5,5,727
4.0,11.0,0.997,3.46,0.68,9.5,5,728
27.0,58.0,0.995,3.61,0.49,12.7,6,729
12.0,37.0,0.9982,3.17,0.67,9.6,5,730
4.0,14.0,0.9994,3.44,0.52,11.5,5,731
10.0,19.0,0.9966,3.39,0.47,9.6,5,732
16.0,72.0,0.998,3.55,0.6,9.5,5,733
9.0,39.0,0.9987,3.48,0.62,9.3,5,734
11.0,22.0,0.9963,3.26,0.5,9.5,5,735
11.0,22.0,0.9963,3.26,0.5,9.5,5,736
19.0,58.0,1.0002,3.5,0.65,9.3,6,737
28.0,104.0,0.9983,3.1,0.56,9.2,5,738
19.0,38.0,0.999,3.35,0.6,9.3,5,739
12.0,16.0,0.9965,3.45,0.68,11.5,6,740
28.0,139.0,0.99788,3.21,0.57,9.5,5,741
9.0,18.0,0.9972,3.46,0.65,9.2,5,742
25.0,101.0,1.00024,3.13,0.53,10.0,5,743
21.0,101.0,1.0001,3.13,0.51,9.5,5,744
12.0,28.0,0.99768,3.52,0.73,9.5,6,745
12.0,57.0,0.9978,3.3,0.47,9.0,6,746
16.0,68.0,0.99782,3.3,0.48,9.4,5,747
12.0,31.0,0.99761,3.52,0.72,9.6,6,748
12.0,28.0,0.99768,3.52,0.73,9.5,6,749
17.0,40.0,0.99803,3.29,0.55,9.5,5,750
17.0,40.0,0.99803,3.29,0.55,9.5,5,751
24.0,66.0,0.99785,3.39,0.61,9.4,5,752
17.0,40.0,0.99803,3.29,0.55,9.5,5,753
14.0,32.0,0.99656,3.09,1.06,9.1,6,754
22.0,47.0,0.99525,3.51,0.43,10.7,6,755
15.0,33.0,0.99488,3.6,0.46,11.2,6,756
10.0,31.0,0.99656,3.25,0.5,9.8,5,757
10.0,31.0,0.99656,3.25,0.5,9.8,5,758
33.0,88.0,0.99823,3.19,0.52,9.2,5,759
9.0,104.0,0.99779,3.23,0.57,9.7,5,760
5.0,35.0,0.99738,3.25,0.42,9.6,5,761
8.0,19.0,0.99701,3.31,0.53,10.0,6,762
5.0,35.0,0.99738,3.25,0.42,9.6,5,763
11.0,44.0,0.99888,3.31,0.55,9.5,6,764
12.0,48.0,0.99888,3.31,0.54,9.5,6,765
12.0,74.0,0.99738,3.14,0.54,9.4,5,766
13.0,98.0,0.99938,3.45,0.62,9.5,5,767
24.0,94.0,0.99744,3.55,0.53,9.7,6,768
7.0,32.0,0.99668,3.39,0.54,9.6,5,769
24.0,94.0,0.99744,3.55,0.53,9.7,6,770
23.0,143.0,0.9978,3.28,0.55,9.4,5,771
23.0,144.0,0.99782,3.27,0.55,9.4,5,772
1.0,44.0,0.9973,3.3,0.92,9.5,6,773
2.0,45.0,0.99727,3.31,0.91,9.5,6,774
7.0,16.0,0.99586,3.43,0.46,10.0,5,775
5.5,48.0,0.99612,3.4,0.6,10.3,6,776
6.0,18.0,0.9961,3.4,0.59,10.3,6,777
7.0,34.0,0.99788,3.36,0.61,10.5,5,778
21.0,92.0,0.99745,3.5,0.6,9.8,5,779
12.0,45.0,0.99676,3.31,0.6,9.4,6,780
9.0,37.0,0.99732,3.66,0.65,9.8,5,781
26.0,96.0,0.99814,3.36,0.53,10.0,5,782
9.0,37.0,0.99732,3.66,0.65,9.8,5,783
20.0,85.0,0.99746,3.55,0.59,9.8,5,784
11.0,61.0,0.9982,3.21,0.5,9.5,5,785
11.0,61.0,0.9982,3.21,0.5,9.5,5,786
19.0,58.0,0.9991,3.18,0.56,10.1,6,787
19.0,58.0,0.9991,3.18,0.56,10.1,6,788
21.0,119.0,0.998,3.09,0.52,9.3,5,789
18.0,82.0,0.99708,3.33,0.68,9.7,6,790
25.0,130.0,0.99818,3.23,0.54,9.6,5,791
17.0,87.0,0.99745,3.48,0.6,9.7,6,792
7.0,13.0,0.99639,3.38,0.56,10.8,5,793
7.0,26.0,0.99531,3.17,0.53,12.5,6,794
7.0,60.0,0.99786,2.99,1.18,10.2,5,795
24.0,64.0,0.99746,3.1,0.74,9.6,5,796
21.0,42.0,0.99526,3.24,0.81,10.8,7,797
5.0,14.0,0.9987,3.29,0.52,10.7,6,798
5.0,14.0,0.9987,3.29,0.52,10.7,6,799
26.0,108.0,0.99641,3.25,0.51,9.4,5,800
8.0,17.0,0.99735,3.23,0.44,10.0,5,801
14.0,86.0,0.99264,3.56,0.94,12.9,7,802
14.0,46.0,0.9971,3.24,0.66,9.6,6,803
4.0,18.0,0.99682,3.26,0.57,9.9,6,804
4.0,10.0,0.99356,3.33,0.7,12.8,7,805
4.0,10.0,0.99386,3.27,0.71,12.5,7,806
4.0,10.0,0.99356,3.33,0.7,12.8,7,807
4.0,12.0,0.99702,3.26,0.86,9.2,5,808
4.0,15.0,0.99693,3.22,0.55,10.3,6,809
4.0,14.0,0.99562,3.3,0.47,10.5,5,810
7.0,24.0,1.00012,3.09,0.68,10.9,6,811
20.0,38.0,0.99818,3.24,0.71,10.8,5,812
4.0,7.0,0.99462,3.44,0.58,11.4,4,813
19.0,41.0,0.99939,3.21,0.76,11.3,6,814
20.0,38.0,0.99818,3.24,0.71,10.8,5,815
8.0,30.0,0.9984,3.23,0.58,10.5,6,816
19.0,27.0,0.99545,3.28,0.73,11.9,6,817
21.0,47.0,0.99632,3.29,0.45,9.4,5,818
9.0,59.0,0.99976,3.28,0.54,9.6,5,819
9.0,22.0,0.99606,3.34,0.6,9.7,5,820
16.0,42.0,0.99154,3.71,0.74,14.0,7,821
15.0,36.0,0.9973,3.61,0.64,9.8,5,822
15.0,36.0,0.9973,3.61,0.64,9.8,5,823
6.0,16.0,0.99682,3.24,0.53,10.3,5,824
15.0,37.0,0.99624,3.36,0.49,10.7,5,825
4.0,8.0,0.9951,3.4,0.64,11.0,7,826
15.0,37.0,0.99624,3.36,0.49,10.7,5,827
34.0,45.0,0.99417,3.46,0.74,12.7,8,828
16.0,24.0,0.99376,3.56,0.77,11.1,6,829
5.0,9.0,0.99632,3.38,0.55,10.9,4,830
16.0,24.0,0.99376,3.56,0.77,11.1,6,831
34.0,48.0,0.99832,3.38,0.86,9.9,3,832
36.0,51.0,0.99836,3.38,0.86,9.9,4,833
16.0,23.0,0.99694,3.32,0.47,9.4,5,834
27.0,55.0,0.99655,3.39,0.51,9.3,5,835
36.0,100.0,0.99064,3.26,0.39,11.7,7,836
36.0,100.0,0.99064,3.26,0.39,11.7,7,837
9.0,28.0,0.99672,3.24,0.83,11.2,7,838
13.0,26.0,0.99647,3.46,0.47,10.0,5,839
9.0,34.0,0.99736,3.24,0.77,12.1,7,840
21.0,31.0,0.99629,3.45,0.63,10.3,5,841
34.0,68.0,0.99708,3.23,0.72,10.9,6,842
9.0,92.0,0.9963,3.28,0.62,9.4,5,843
26.0,42.0,0.9959,3.18,0.83,10.6,6,844
14.0,31.0,0.99689,3.59,0.66,9.8,5,845
14.0,31.0,0.99689,3.59,0.66,9.8,5,846
12.0,39.0,0.9977,3.5,0.7,9.9,6,847
14.0,31.0,0.99689,3.59,0.66,9.8,5,848
12.0,32.0,0.99689,3.58,0.66,9.8,5,849
9.0,22.0,0.99708,3.28,0.55,9.5,5,850
9.0,22.0,0.99708,3.28,0.55,9.5,5,851
26.0,122.0,0.99801,3.22,1.07,9.7,5,852
41.0,55.0,0.99652,3.47,0.73,10.9,6,853
41.0,55.0,0.99652,3.47,0.73,10.9,6,854
10.0,14.0,0.99538,3.51,0.71,11.7,7,855
41.0,55.0,0.99652,3.47,0.73,10.9,6,856
16.0,47.0,0.99594,3.4,0.78,11.3,7,857
17.0,32.0,0.99686,3.15,0.67,10.6,7,858
15.0,24.0,0.99438,3.4,0.82,11.2,6,859
15.0,85.0,0.99746,3.51,0.54,9.5,5,860
15.0,88.0,0.99357,3.66,0.6,11.5,6,861
7.0,25.0,0.99628,3.24,0.44,10.4,5,862
17.0,84.0,0.99746,3.51,0.53,9.7,5,863
15.0,85.0,0.99746,3.51,0.54,9.5,5,864
16.0,86.0,0.99748,3.51,0.54,9.7,5,865
13.0,24.0,0.99438,3.41,0.83,11.3,6,866
13.0,22.0,0.99438,3.4,0.84,11.2,6,867
15.0,24.0,0.99438,3.4,0.82,11.2,6,868
27.0,43.0,0.99578,3.44,0.64,10.9,6,869
31.0,43.0,0.99371,3.41,0.57,11.8,6,870
36.0,46.0,0.99522,3.53,0.57,10.6,5,871
28.0,48.0,0.99576,3.43,0.54,10.0,4,872
6.0,10.0,0.99552,3.23,0.58,11.1,7,873
6.0,10.0,0.99664,3.12,0.65,11.8,7,874
7.0,16.0,0.99614,3.31,0.79,11.8,7,875
7.0,14.0,0.99517,3.4,0.58,10.9,4,876
31.0,43.0,0.99371,3.41,0.57,11.8,6,877
30.0,69.0,0.99787,3.22,0.5,10.0,6,878
18.0,88.0,0.99745,3.53,0.55,9.5,5,879
10.0,21.0,0.99576,3.15,0.49,9.9,5,880
30.0,35.0,0.99533,3.48,0.65,11.4,6,881
14.0,26.0,0.99536,3.22,0.78,12.0,6,882
18.0,88.0,0.99745,3.53,0.55,9.5,5,883
30.0,69.0,0.99787,3.22,0.5,10.0,6,884
9.0,30.0,0.99824,3.34,0.64,10.5,5,885
8.0,28.0,0.99836,3.33,0.65,10.4,6,886
29.0,56.0,0.99577,3.15,0.79,12.1,7,887
32.0,64.0,0.99491,3.43,0.56,11.2,6,888
23.0,99.0,1.00289,3.22,0.68,9.3,5,889
30.0,52.0,0.99576,3.44,0.58,10.1,5,890
16.0,86.0,0.99743,3.53,0.57,9.7,5,891
10.0,18.0,0.99774,3.22,0.65,9.3,6,892
16.0,86.0,0.99743,3.53,0.57,9.7,5,893
17.0,88.0,0.99745,3.53,0.58,9.8,6,894
27.0,43.0,0.9955,3.42,0.58,10.7,6,895
17.0,43.0,0.99444,3.31,0.77,12.5,7,896
27.0,43.0,0.9955,3.42,0.58,10.7,6,897
17.0,43.0,0.99444,3.31,0.77,12.5,7,898
6.0,11.0,0.99892,3.48,0.49,11.0,3,899
10.0,39.0,0.99562,3.4,0.69,11.8,5,900
16.0,33.0,0.99736,3.58,0.69,10.8,7,901
16.0,33.0,0.99736,3.58,0.69,10.8,7,902
11.0,18.0,0.9962,3.41,0.59,10.8,7,903
11.0,18.0,0.9962,3.41,0.59,10.8,7,904
15.0,115.0,0.998,3.23,0.59,9.5,5,905
12.0,78.0,0.9964,3.39,0.71,11.0,5,906
6.0,9.0,0.9948,3.59,0.54,11.5,6,907
34.0,61.0,0.99528,3.43,0.59,10.8,6,908
7.0,11.0,0.99331,3.29,0.52,11.5,6,909
3.0,11.0,0.99577,3.23,0.57,13.2,6,910
3.0,9.0,0.99901,3.18,0.6,10.9,6,911
4.0,8.0,0.99674,3.33,0.62,12.2,6,912
3.0,10.0,0.99639,3.27,0.64,12.2,7,913
7.0,11.0,0.99331,3.29,0.52,11.5,6,914
3.0,6.0,0.99512,3.27,0.67,11.9,6,915
7.0,62.0,0.99395,3.62,0.61,11.0,5,916
26.0,45.0,0.99824,3.38,0.64,10.1,6,917
32.0,79.0,0.9964,3.3,0.72,11.0,6,918
38.0,46.0,0.99504,3.38,0.89,11.8,6,919
10.0,23.0,0.99786,3.24,0.56,10.5,5,920
32.0,79.0,0.9964,3.3,0.72,11.0,6,921
38.0,46.0,0.99504,3.38,0.89,11.8,6,922
26.0,45.0,0.99824,3.38,0.64,10.1,6,923
14.0,28.0,0.99516,3.18,0.8,11.2,5,924
53.0,77.0,0.99604,3.47,0.87,11.0,7,925
52.0,73.0,0.99786,3.47,0.9,10.2,6,926
11.0,75.0,0.99736,3.2,0.59,9.2,4,927
14.0,28.0,0.99516,3.18,0.8,11.2,5,928
10.0,19.0,0.99468,3.3,0.73,12.0,7,929
8.0,25.0,0.99746,3.69,0.73,10.5,5,930
13.0,38.0,0.99748,3.48,0.65,9.8,5,931
29.0,66.0,0.9971,3.45,0.59,9.5,6,932
13.0,38.0,0.99748,3.48,0.65,9.8,5,933
8.0,25.0,0.99746,3.69,0.73,10.5,5,934
19.0,72.0,0.99543,3.39,0.72,11.8,6,935
19.0,72.0,0.99543,3.39,0.72,11.8,6,936
6.0,26.0,0.99791,3.07,0.6,10.4,4,937
23.0,42.0,0.99356,3.34,0.72,12.9,7,938
7.0,11.0,0.99425,3.61,0.54,11.4,5,939
13.0,25.0,0.99509,3.36,0.76,12.4,7,940
9.0,17.0,0.99484,3.19,0.52,12.5,7,941
13.0,52.0,0.99834,3.22,0.64,10.0,7,942
10.0,45.0,0.99864,3.24,0.6,9.7,7,943
11.0,24.0,0.99498,3.27,0.64,12.1,7,944
7.0,20.0,0.99566,3.14,0.79,11.1,7,945
11.0,24.0,0.99745,3.29,0.99,12.0,7,946
6.0,12.0,0.99408,3.26,0.62,12.4,7,947
10.0,21.0,0.99552,3.41,0.76,11.9,7,948
10.0,21.0,0.99552,3.41,0.76,11.9,7,949
10.0,21.0,0.99552,3.41,0.76,11.9,7,950
6.0,12.0,0.99408,3.26,0.62,12.4,7,951
6.0,10.0,0.99536,3.31,0.68,11.2,7,952
5.0,9.0,0.99458,3.2,0.69,12.1,7,953
6.0,11.0,0.99538,3.44,0.54,12.2,6,954
9.0,23.0,0.99648,3.36,0.67,10.4,5,955
5.0,10.0,0.99568,3.31,0.62,11.3,6,956
12.0,51.0,0.99613,3.29,0.58,11.1,6,957
25.0,36.0,0.99519,3.47,0.71,11.3,7,958
12.0,32.0,0.99735,3.36,0.61,10.0,5,959
18.0,38.0,0.99518,3.16,0.85,11.1,6,960
7.0,18.0,0.99592,3.27,0.62,9.3,5,961
6.0,16.0,0.99654,3.38,0.69,9.5,5,962
