density,free sulfur dioxide,pH,quality,W_ID
0.99624,15.0,3.36,5,825
0.9951,4.0,3.4,7,826
0.99624,15.0,3.36,5,827
0.99417,34.0,3.46,8,828
0.99376,16.0,3.56,6,829
0.99632,5.0,3.38,4,830
0.99376,16.0,3.56,6,831
0.99832,34.0,3.38,3,832
0.99836,36.0,3.38,4,833
0.99694,16.0,3.32,5,834
0.99655,27.0,3.39,5,835
0.99064,36.0,3.26,7,836
0.99064,36.0,3.26,7,837
0.99672,9.0,3.24,7,838
0.99647,13.0,3.46,5,839
0.99736,9.0,3.24,7,840
0.99629,21.0,3.45,5,841
0.99708,34.0,3.23,6,842
0.9963,9.0,3.28,5,843
0.9959,26.0,3.18,6,844
0.99689,14.0,3.59,5,845
0.99689,14.0,3.59,5,846
0.9977,12.0,3.5,6,847
0.99689,14.0,3.59,5,848
0.99689,12.0,3.58,5,849
0.99708,9.0,3.28,5,850
0.99708,9.0,3.28,5,851
0.99801,26.0,3.22,5,852
0.99652,41.0,3.47,6,853
0.99652,41.0,3.47,6,854
0.99538,10.0,3.51,7,855
0.99652,41.0,3.47,6,856
0.99594,16.0,3.4,7,857
0.99686,17.0,3.15,7,858
0.99438,15.0,3.4,6,859
0.99746,15.0,3.51,5,860
0.99357,15.0,3.66,6,861
0.99628,7.0,3.24,5,862
0.99746,17.0,3.51,5,863
0.99746,15.0,3.51,5,864
0.99748,16.0,3.51,5,865
0.99438,13.0,3.41,6,866
0.99438,13.0,3.4,6,867
0.99438,15.0,3.4,6,868
0.99578,27.0,3.44,6,869
0.99371,31.0,3.41,6,870
0.99522,36.0,3.53,5,871
0.99576,28.0,3.43,4,872
0.99552,6.0,3.23,7,873
0.99664,6.0,3.12,7,874
0.99614,7.0,3.31,7,875
0.99517,7.0,3.4,4,876
0.99371,31.0,3.41,6,877
0.99787,30.0,3.22,6,878
0.99745,18.0,3.53,5,879
0.99576,10.0,3.15,5,880
0.99533,30.0,3.48,6,881
0.99536,14.0,3.22,6,882
0.99745,18.0,3.53,5,883
0.99787,30.0,3.22,6,884
0.99824,9.0,3.34,5,885
0.99836,8.0,3.33,6,886
0.99577,29.0,3.15,7,887
0.99491,32.0,3.43,6,888
1.00289,23.0,3.22,5,889
0.99576,30.0,3.44,5,890
0.99743,16.0,3.53,5,891
0.99774,10.0,3.22,6,892
0.99743,16.0,3.53,5,893
0.99745,17.0,3.53,6,894
0.9955,27.0,3.42,6,895
0.99444,17.0,3.31,7,896
0.9955,27.0,3.42,6,897
0.99444,17.0,3.31,7,898
0.99892,6.0,3.48,3,899
0.99562,10.0,3.4,5,900
0.99736,16.0,3.58,7,901
0.99736,16.0,3.58,7,902
0.9962,11.0,3.41,7,903
0.9962,11.0,3.41,7,904
0.998,15.0,3.23,5,905
0.9964,12.0,3.39,5,906
0.9948,6.0,3.59,6,907
0.99528,34.0,3.43,6,908
0.99331,7.0,3.29,6,909
0.99577,3.0,3.23,6,910
0.99901,3.0,3.18,6,911
0.99674,4.0,3.33,6,912
0.99639,3.0,3.27,7,913
0.99331,7.0,3.29,6,914
0.99512,3.0,3.27,6,915
0.99395,7.0,3.62,5,916
0.99824,26.0,3.38,6,917
0.9964,32.0,3.3,6,918
0.99504,38.0,3.38,6,919
0.99786,10.0,3.24,5,920
0.9964,32.0,3.3,6,921
0.99504,38.0,3.38,6,922
0.99824,26.0,3.38,6,923
0.99516,14.0,3.18,5,924
0.99604,53.0,3.47,7,925
0.99786,52.0,3.47,6,926
0.99736,11.0,3.2,4,927
0.99516,14.0,3.18,5,928
0.99468,10.0,3.3,7,929
0.99746,8.0,3.69,5,930
0.99748,13.0,3.48,5,931
0.9971,29.0,3.45,6,932
0.99748,13.0,3.48,5,933
0.99746,8.0,3.69,5,934
0.99543,19.0,3.39,6,935
0.99543,19.0,3.39,6,936
0.99791,6.0,3.07,4,937
0.99356,23.0,3.34,7,938
0.99425,7.0,3.61,5,939
0.99509,13.0,3.36,7,940
0.99484,9.0,3.19,7,941
0.99834,13.0,3.22,7,942
0.99864,10.0,3.24,7,943
0.99498,11.0,3.27,7,944
0.99566,7.0,3.14,7,945
0.99745,11.0,3.29,7,946
0.99408,6.0,3.26,7,947
0.99552,10.0,3.41,7,948
0.99552,10.0,3.41,7,949
0.99552,10.0,3.41,7,950
0.99408,6.0,3.26,7,951
0.99536,6.0,3.31,7,952
0.99458,5.0,3.2,7,953
0.99538,6.0,3.44,6,954
0.99648,9.0,3.36,5,955
0.99568,5.0,3.31,6,956
0.99613,12.0,3.29,6,957
0.99519,25.0,3.47,7,958
0.99735,12.0,3.36,5,959
0.99518,18.0,3.16,6,960
0.99592,7.0,3.27,5,961
0.99654,6.0,3.38,5,962
0.99546,20.0,3.15,6,963
0.99518,18.0,3.16,6,964
0.99554,24.0,3.34,6,965
0.99604,6.0,3.13,7,966
0.99733,23.0,3.13,5,967
0.9943,29.0,3.2,6,968
0.99669,7.0,3.46,5,969
0.99724,6.0,3.33,6,970
0.99724,6.0,3.33,6,971
0.99643,6.0,3.22,7,972
0.99605,6.0,3.52,5,973
0.99658,7.0,3.3,7,974
0.997,35.0,3.44,5,975
0.997,35.0,3.44,5,976
0.99801,31.0,3.15,5,977
0.99416,9.0,3.28,7,978
0.9969,3.0,3.13,5,979
0.99774,8.0,3.32,6,980
0.99712,13.0,3.25,5,981
0.99418,51.0,3.34,6,982
0.99774,8.0,3.32,6,983
0.9969,3.0,3.13,5,984
0.99562,7.0,3.45,6,985
0.9947,3.0,3.19,7,986
0.99693,35.0,3.44,5,987
0.99596,19.0,3.16,5,988
0.99556,14.0,3.14,6,989
0.99596,19.0,3.16,5,990
0.99694,31.0,3.45,5,991
0.99554,30.0,3.36,6,992
0.99694,31.0,3.45,5,993
0.99918,20.0,3.15,5,994
0.99697,19.0,3.39,6,995
0.99378,3.0,3.71,7,996
0.99378,3.0,3.71,7,997
0.99554,4.0,3.12,6,998
0.99162,7.0,3.47,6,999
0.99495,6.0,3.44,7,1000
0.99676,31.0,3.26,7,1001
0.99516,13.0,3.26,7,1002
0.9928,4.0,3.36,7,1003
0.99603,27.0,3.25,5,1004
0.9928,4.0,3.36,7,1005
0.99516,13.0,3.26,7,1006
0.99516,12.0,3.26,7,1007
0.99549,12.0,3.23,7,1008
0.99722,26.0,3.18,5,1009
0.99354,7.0,3.25,7,1010
0.9957,12.0,3.17,6,1011
0.99604,11.0,3.23,5,1012
0.99635,22.0,3.38,6,1013
0.99454,3.0,3.22,6,1014
0.99598,14.0,3.06,6,1015
0.99486,12.0,3.27,7,1016
0.99007,36.0,2.89,6,1017
0.99007,36.0,2.89,6,1018
0.99636,10.0,3.53,5,1019
0.99642,3.0,3.2,6,1020
0.99642,3.0,3.2,6,1021
0.99584,4.0,3.35,5,1022
0.99506,3.0,3.27,6,1023
0.99568,12.0,3.32,7,1024
0.99822,17.0,3.33,6,1025
0.99364,14.0,3.41,6,1026
0.99378,28.0,3.49,5,1027
0.99586,41.0,3.37,6,1028
0.99568,12.0,3.32,7,1029
0.99488,9.0,3.42,7,1030
0.99514,9.0,3.35,7,1031
0.99854,5.0,3.36,5,1032
0.99592,14.0,3.3,6,1033
0.99739,15.0,3.2,6,1034
0.99683,5.0,3.17,7,1035
0.99356,26.0,3.22,7,1036
0.99672,20.0,3.35,5,1037
0.9953,25.0,3.24,7,1038
0.99692,21.0,3.33,6,1039
0.99756,16.0,3.58,5,1040
0.99547,13.0,3.38,6,1041
0.99692,21.0,3.33,6,1042
0.99859,18.0,3.29,7,1043
0.99294,12.0,3.36,6,1044
0.99438,32.0,3.32,6,1045
0.99612,33.0,3.31,6,1046
0.99634,27.0,3.49,5,1047
0.99702,3.0,3.27,6,1048
0.99704,6.0,3.27,6,1049
0.99634,27.0,3.49,5,1050
0.99702,16.0,3.03,5,1051
0.99258,19.0,3.56,5,1052
0.99426,9.0,3.38,7,1053
0.99747,5.0,3.13,6,1054
0.99747,5.0,3.13,6,1055
0.99586,3.0,3.21,7,1056
0.99784,28.0,3.15,5,1057
0.9971,30.0,3.19,7,1058
0.99586,3.0,3.21,7,1059
0.9981,3.0,3.14,6,1060
0.99462,7.0,3.21,8,1061
0.9956,6.0,3.3,6,1062
0.99565,6.0,3.22,6,1063
0.99418,5.0,3.28,6,1064
0.9963,6.0,3.29,6,1065
0.99358,13.0,3.4,7,1066
0.99572,3.0,3.02,7,1067
0.99572,3.0,3.02,7,1068
0.997,28.0,3.31,5,1069
0.99498,19.0,3.18,7,1070
0.99892,30.0,3.2,5,1071
0.9968,33.0,3.4,6,1072
0.9972,16.0,3.31,6,1073
0.99892,30.0,3.2,5,1074
0.99769,45.0,3.44,7,1075
0.99534,3.0,3.15,6,1076
0.99817,3.0,3.27,5,1077
0.99817,3.0,3.27,5,1078
0.99316,37.5,3.01,7,1079
0.99471,3.0,3.16,6,1080
0.99316,37.5,3.01,7,1081
0.99685,31.0,3.42,6,1082
0.99617,32.0,3.33,6,1083
0.99685,31.0,3.42,6,1084
0.99529,40.0,3.12,5,1085
0.99738,3.0,3.38,7,1086
0.994,18.0,3.29,6,1087
0.99735,22.0,3.02,7,1088
0.99735,22.0,3.02,7,1089
0.99451,42.0,2.98,8,1090
0.99546,8.0,3.35,6,1091
0.99479,10.0,3.43,6,1092
0.99615,11.0,3.33,7,1093
0.99655,9.0,3.35,6,1094
0.99772,6.0,3.15,5,1095
0.99655,9.0,3.35,6,1096
0.99666,5.0,3.2,5,1097
0.99358,5.0,3.15,7,1098
0.99666,5.0,3.2,5,1099
0.99392,23.0,3.11,6,1100
0.99388,14.0,3.35,6,1101
0.99402,18.0,3.45,6,1102
0.99388,14.0,3.35,6,1103
0.9936,16.0,3.28,6,1104
0.99374,13.0,3.41,5,1105
0.99376,9.0,3.21,6,1106
0.99523,10.0,3.27,7,1107
0.99855,4.0,3.36,5,1108
0.9982,27.0,3.17,6,1109
0.99593,6.0,3.25,6,1110
0.99471,23.0,3.78,7,1111
0.99396,6.0,3.29,6,1112
0.99698,3.0,3.12,6,1113
0.9902,29.0,3.49,6,1114
0.99572,15.0,3.38,6,1115
0.99572,15.0,3.38,6,1116
0.99572,15.0,3.38,6,1117
0.99252,14.0,3.3,6,1118
0.99256,7.0,3.52,5,1119
0.99235,8.0,3.2,8,1120
0.99352,21.0,3.44,6,1121
0.9922,27.0,3.45,6,1122
0.99674,17.0,3.12,6,1123
0.99557,3.0,3.62,4,1124
0.99394,13.0,3.14,7,1125
0.9915,3.0,3.39,6,1126
0.99379,26.0,3.51,6,1127
0.9984,28.0,3.22,5,1128
0.99798,24.0,3.21,6,1129
0.9977,5.0,3.18,6,1130
0.99341,57.0,3.32,5,1131
0.9933,18.0,3.38,7,1132
0.99684,10.0,3.37,7,1133
0.99524,6.0,3.3,7,1134
0.9946,22.0,3.38,6,1135
0.99774,6.0,3.22,6,1136
0.99774,6.0,3.22,6,1137
0.99786,29.0,3.14,5,1138
0.99764,16.0,3.34,6,1139
0.9969,33.0,3.41,6,1140
0.99624,24.0,3.27,6,1141
0.99354,6.0,3.3,6,1142
0.99672,16.0,3.61,6,1143
0.99588,35.0,3.43,5,1144
0.99672,31.0,3.53,6,1145
0.996,6.0,3.28,6,1146
0.99702,6.0,3.21,7,1147
0.99526,9.0,3.39,6,1148
0.99585,6.0,3.23,6,1149
0.99473,4.0,3.3,7,1150
0.99352,16.0,3.46,6,1151
0.99616,9.0,3.15,5,1152
0.99622,17.0,3.23,6,1153
0.99544,50.0,3.59,6,1154
0.99616,9.0,3.15,5,1155
0.99524,45.0,3.33,7,1156
0.9924,16.0,3.46,7,1157
0.99572,22.0,3.42,6,1158
0.99728,11.0,3.16,5,1159
0.99676,6.0,3.14,7,1160
0.99551,12.0,3.21,6,1161
0.99434,12.0,3.14,7,1162
0.99692,10.0,3.29,5,1163
0.99692,10.0,3.29,5,1164
0.99634,15.0,3.01,5,1165
0.99709,7.0,2.94,5,1166
0.99528,29.0,3.32,7,1167
0.99384,8.0,3.21,6,1168
0.99502,5.0,3.32,6,1169
0.99667,5.0,3.2,6,1170
0.99522,26.0,3.42,6,1171
0.99649,5.0,3.27,6,1172
0.99716,26.0,3.46,6,1173
0.99716,26.0,3.46,6,1174
0.99541,48.0,3.61,6,1175
0.99572,23.0,3.58,4,1176
0.99318,6.0,3.35,7,1177
0.99346,17.0,3.68,5,1178
0.99599,11.0,3.27,6,1179
0.99599,11.0,3.27,6,1180
0.99478,5.0,3.19,5,1181
0.99754,41.0,3.38,6,1182
0.99572,16.0,3.29,5,1183
0.99538,11.0,3.36,5,1184
0.99346,6.0,3.33,6,1185
0.9963,6.0,3.52,5,1186
0.99346,6.0,3.33,6,1187
0.99538,11.0,3.36,5,1188
0.99616,5.0,3.3,4,1189
0.99652,6.0,3.28,6,1190
0.99551,6.0,3.56,5,1191
0.99439,11.0,3.52,7,1192
0.99551,6.0,3.56,5,1193
0.99588,15.0,3.22,6,1194
0.99633,21.0,3.52,6,1195
0.99686,23.0,3.21,6,1196
0.99458,4.0,3.16,6,1197
0.9951,19.0,3.15,6,1198
0.99686,23.0,3.21,6,1199
0.99458,4.0,3.16,6,1200
0.99419,5.0,3.27,7,1201
0.99516,6.0,3.35,8,1202
0.99878,33.0,3.14,5,1203
0.99534,24.0,3.4,7,1204
0.99534,24.0,3.4,7,1205
0.99534,24.0,3.4,7,1206
0.99752,24.0,3.35,5,1207
0.99534,24.0,3.4,7,1208
0.99428,14.0,3.45,7,1209
0.99498,8.0,3.35,6,1210
0.9957,22.0,3.32,5,1211
0.99498,8.0,3.35,6,1212
0.99659,5.0,3.15,6,1213
0.99628,6.0,3.1,6,1214
0.99488,20.0,3.26,6,1215
0.99677,10.0,3.29,6,1216
0.99408,43.0,3.23,6,1217
0.996,8.0,3.24,6,1218
0.99478,25.0,3.2,6,1219
0.99734,17.0,3.28,6,1220
0.99734,17.0,3.28,6,1221
0.99678,33.0,3.26,6,1222
0.99638,9.0,3.23,6,1223
0.9992,8.0,3.07,6,1224
0.99922,18.0,3.15,5,1225
0.99592,27.0,3.02,5,1226
0.99769,8.0,3.27,5,1227
0.99157,18.0,3.68,7,1228
0.99718,19.0,3.4,5,1229
0.9947,15.0,3.37,6,1230
0.99621,48.0,3.38,5,1231
0.99718,19.0,3.4,5,1232
0.99614,14.0,3.23,4,1233
0.99242,11.0,3.39,6,1234
0.99572,6.0,3.3,4,1235
0.99659,7.0,3.26,6,1236
0.99242,11.0,3.39,6,1237
0.99798,12.0,3.38,4,1238
0.99488,11.0,3.45,4,1239
0.99494,36.0,3.1,5,1240
0.99729,28.0,3.16,5,1241
0.99414,15.0,3.22,6,1242
0.9983,10.0,3.37,5,1243
0.99721,72.0,3.33,6,1244
0.99655,15.0,3.49,5,1245
0.99502,15.0,3.12,5,1246
0.99655,15.0,3.49,5,1247
0.9949,22.0,3.41,6,1248
0.99514,24.0,3.4,6,1249
0.99514,24.0,3.4,6,1250
0.9963,27.0,3.28,5,1251
0.99627,6.0,3.45,5,1252
0.99569,6.0,3.43,5,1253
0.99628,20.0,3.4,5,1254
0.99358,26.0,3.47,5,1255
0.99499,43.0,3.1,5,1256
0.99633,12.0,3.32,6,1257
0.99538,15.0,3.44,6,1258
0.99538,15.0,3.44,6,1259
0.99632,19.0,3.02,5,1260
0.99437,17.0,3.59,4,1261
0.99726,34.0,3.15,5,1262
0.9978,13.0,3.37,4,1263
0.99456,26.0,3.38,6,1264
0.99564,16.0,3.38,6,1265
0.99564,16.0,3.38,6,1266
0.996,13.0,3.1,6,1267
0.99668,21.0,3.47,6,1268
0.9908,28.0,3.5,8,1269
0.99084,26.0,3.7,6,1270
0.9935,24.0,3.38,6,1271
0.99385,25.0,3.5,5,1272
0.99494,34.0,3.1,5,1273
0.9944,17.0,3.24,6,1274
0.99688,13.0,3.24,6,1275
0.99566,3.0,3.28,4,1276
0.99636,3.0,3.35,6,1277
0.99688,13.0,3.24,6,1278
0.9948,3.0,3.14,7,1279
0.9956,28.0,3.37,6,1280
0.9956,28.0,3.37,6,1281
0.99619,9.0,3.33,6,1282
0.99734,17.0,3.26,6,1283
0.99476,18.0,3.39,5,1284
0.99734,20.0,3.15,5,1285
0.99328,17.0,3.35,6,1286
0.99286,3.0,3.22,5,1287
0.99914,20.0,3.3,5,1288
0.99914,20.0,3.3,5,1289
0.99521,6.0,3.36,5,1290
0.99638,25.0,3.29,6,1291
0.99362,14.0,3.62,6,1292
0.99672,6.0,3.34,4,1293
0.99638,25.0,3.29,6,1294
0.99558,51.0,3.2,5,1295
0.99558,51.0,3.2,5,1296
0.99323,15.0,3.35,6,1297
0.99191,11.0,3.45,6,1298
0.99476,5.0,3.5,3,1299
0.99444,15.0,3.78,6,1300
0.99598,20.0,3.6,6,1301
0.99576,4.0,3.3,6,1302
0.99501,28.0,3.36,5,1303
0.9955,21.0,3.12,5,1304
0.99612,24.0,3.3,5,1305
0.9979,22.0,3.29,5,1306
0.99524,15.0,3.41,4,1307
0.9979,22.0,3.29,5,1308
0.996,27.0,3.28,5,1309
0.99612,24.0,3.3,5,1310
0.9929,12.0,3.33,6,1311
0.99532,14.0,3.34,5,1312
0.99558,20.0,3.4,6,1313
0.99556,24.0,3.4,6,1314
0.99616,17.0,3.26,6,1315
0.99258,16.0,4.01,6,1316
0.99638,10.0,3.18,6,1317
0.99616,17.0,3.26,6,1318
0.99652,18.0,2.9,6,1319
0.99796,12.0,3.26,5,1320
0.99258,16.0,4.01,6,1321
0.99392,9.0,3.18,5,1322
0.99495,21.0,3.18,7,1323
0.9948,18.0,3.39,6,1324
0.9948,18.0,3.39,6,1325
0.9948,18.0,3.39,6,1326
0.9948,18.0,3.39,6,1327
0.9955,13.0,3.34,5,1328
0.99616,17.0,3.29,6,1329
0.99616,17.0,3.29,6,1330
0.99668,31.0,3.26,5,1331
0.99581,6.0,3.09,6,1332
0.9976,12.0,3.18,5,1333
0.99608,4.0,3.39,5,1334
0.99387,19.0,3.38,6,1335
0.99448,15.0,3.36,5,1336
0.99448,15.0,3.36,5,1337
0.99448,15.0,3.36,5,1338
0.99538,13.0,3.36,6,1339
0.99538,13.0,3.36,6,1340
0.99538,13.0,3.36,6,1341
0.99589,17.0,3.37,6,1342
0.99538,13.0,3.36,6,1343
0.99852,8.0,3.09,5,1344
0.99613,10.0,3.25,6,1345
0.99472,5.0,3.52,5,1346
0.99587,7.0,3.34,5,1347
0.99587,7.0,3.34,5,1348
0.99518,21.0,3.41,5,1349
0.99654,32.0,3.34,5,1350
0.99332,8.0,3.32,6,1351
0.9969,14.0,3.37,5,1352
0.9969,14.0,3.37,5,1353
0.99568,7.0,3.35,5,1354
0.99464,5.0,3.36,5,1355
0.99464,4.0,3.36,5,1356
0.99648,27.0,3.6,6,1357
0.99736,52.0,3.28,5,1358
0.99704,6.0,3.07,6,1359
0.99699,11.0,3.24,5,1360
0.99724,13.0,3.36,5,1361
0.99704,6.0,3.07,6,1362
0.99652,11.0,3.29,4,1363
0.995,10.0,3.46,6,1364
0.9971,10.0,3.18,5,1365
0.99576,10.0,3.24,5,1366
0.99725,9.0,3.25,6,1367
0.99656,16.0,3.27,6,1368
0.99396,4.0,3.33,4,1369
0.99623,12.0,3.0,5,1370
0.99476,5.0,3.21,6,1371
0.99623,12.0,3.0,5,1372
0.99664,34.0,3.24,5,1373
0.99471,16.0,3.32,3,1374
0.99586,13.0,3.26,5,1375
0.9946,7.0,3.11,5,1376
0.9953,23.0,3.71,6,1377
0.99609,10.0,3.29,6,1378
0.99557,11.0,3.36,6,1379
0.99557,11.0,3.36,6,1380
0.99534,4.0,3.38,5,1381
0.99613,25.0,3.3,5,1382
0.99613,25.0,3.3,5,1383
0.99593,20.0,3.19,5,1384
0.99668,34.0,3.19,5,1385
0.9961,8.0,3.3,5,1386
0.9961,8.0,3.3,5,1387
0.99718,7.0,3.35,5,1388
0.99524,36.0,3.1,5,1389
0.99292,15.0,3.58,6,1390
0.99612,5.0,3.37,5,1391
0.9942,5.0,3.17,5,1392
0.99612,19.0,3.3,5,1393
0.99669,27.0,3.32,5,1394
0.99745,3.0,3.31,6,1395
0.99745,4.0,3.31,5,1396
0.99584,17.0,3.28,5,1397
0.9966,13.0,3.52,7,1398
0.9956,10.0,3.42,6,1399
0.9962,33.0,3.25,5,1400
0.9962,33.0,3.25,5,1401
0.9963,6.0,3.44,6,1402
0.996,3.0,3.23,8,1403
0.9985,12.0,3.43,6,1404
0.9952,18.0,3.28,7,1405
0.9974,8.0,3.22,6,1406
0.995,40.0,3.54,6,1407
0.995,35.0,3.27,7,1408
0.995,40.0,3.54,6,1409
0.9936,5.0,3.5,6,1410
0.9963,8.0,3.56,6,1411
0.9974,8.0,3.22,6,1412
0.9963,12.0,3.04,5,1413
0.9994,3.0,3.2,5,1414
0.9966,8.0,3.56,5,1415
0.9994,3.0,3.2,5,1416
0.9952,21.0,3.35,7,1417
0.995,3.0,3.16,5,1418
0.9956,32.0,3.27,5,1419
0.995,3.0,3.16,5,1420
0.9965,24.0,3.34,5,1421
0.9956,39.0,3.39,6,1422
0.9968,14.0,3.5,4,1423
0.9974,8.0,3.26,6,1424
0.9974,8.0,3.26,6,1425
0.9971,23.0,3.41,6,1426
0.9957,6.0,3.3,5,1427
0.9962,27.0,3.31,5,1428
0.996,38.0,3.33,5,1429
0.9956,18.0,3.37,5,1430
0.9958,13.0,3.26,6,1431
0.9944,3.0,3.48,6,1432
0.9955,11.0,3.42,7,1433
1.00369,55.0,3.18,6,1434
1.00369,55.0,3.18,6,1435
0.99914,27.0,3.15,5,1436
0.99577,15.0,3.53,5,1437
0.996,3.0,3.41,5,1438
0.99566,31.0,3.32,6,1439
0.9947,15.0,3.23,7,1440
0.99713,19.0,3.16,6,1441
0.99712,18.0,3.4,5,1442
0.99322,8.0,3.38,5,1443
0.99566,31.0,3.32,6,1444
0.99713,19.0,3.16,6,1445
0.99712,18.0,3.4,5,1446
0.99701,22.0,3.4,5,1447
0.99683,40.0,3.4,5,1448
0.99472,15.0,3.23,8,1449
0.9947,15.0,3.23,7,1450
0.99732,8.0,3.33,7,1451
0.99374,37.0,3.35,7,1452
0.99706,27.0,3.41,5,1453
0.99974,7.0,3.21,6,1454
0.99467,9.0,3.5,6,1455
0.99236,38.0,3.3,6,1456
0.99706,27.0,3.41,5,1457
0.99603,8.0,3.39,5,1458
0.99458,7.0,3.32,7,1459
0.99724,34.0,3.41,6,1460
0.99664,6.0,3.59,4,1461
0.99545,14.0,3.36,6,1462
0.99522,14.0,3.34,6,1463
0.9958,34.0,3.41,5,1464
0.9958,34.0,3.41,5,1465
0.99728,31.0,3.3,7,1466
0.99648,19.0,3.52,4,1467
0.99728,31.0,3.3,7,1468
0.99705,20.0,3.31,3,1469
0.99578,8.0,2.88,5,1470
0.99334,8.0,3.43,5,1471
0.99656,23.0,3.38,6,1472
0.99336,14.0,3.38,5,1473
1.00242,48.0,3.16,5,1474
0.99182,16.0,3.54,7,1475
1.00242,48.0,3.16,5,1476
0.99182,16.0,3.54,7,1477
0.99808,3.0,3.4,3,1478
0.99828,10.0,3.39,5,1479
0.99498,6.0,3.66,4,1480
0.99828,10.0,3.39,5,1481
0.99719,3.0,3.33,4,1482
0.99542,6.0,3.35,5,1483
0.99592,4.0,3.53,4,1484
0.99606,8.0,3.37,5,1485
0.99546,9.0,3.38,5,1486
0.99496,9.0,3.52,5,1487
0.9942,5.0,3.72,5,1488
0.99448,4.0,3.44,6,1489
0.99344,8.0,3.39,6,1490
0.9942,5.0,3.72,5,1491
0.99348,6.0,3.57,5,1492
0.99636,23.0,3.26,5,1493
0.99459,15.0,3.42,7,1494
0.99492,15.0,3.35,6,1495
0.99636,23.0,3.26,5,1496
0.99508,7.0,3.45,6,1497
0.99582,7.0,3.53,6,1498
0.99508,7.0,3.45,6,1499
0.99508,8.0,3.26,5,1500
0.99642,21.0,3.16,5,1501
0.99638,15.0,3.31,5,1502
0.99555,6.0,3.51,6,1503
0.99605,5.0,3.36,6,1504
0.996,6.0,3.55,3,1505
0.99562,6.0,3.51,6,1506
0.99605,5.0,3.36,6,1507
0.99814,17.0,3.38,6,1508
0.9941,7.0,3.28,5,1509
0.99661,26.0,3.47,6,1510
0.99712,19.0,3.44,5,1511
0.99588,11.0,3.53,6,1512
0.99294,17.0,3.33,6,1513
0.99842,16.0,3.53,6,1514
0.99842,16.0,3.53,6,1515
0.99633,23.0,3.42,5,1516
0.99489,29.0,3.38,6,1517
0.99647,7.0,3.32,5,1518
0.99665,14.0,3.44,5,1519
0.99489,29.0,3.38,6,1520
0.99585,9.0,3.39,4,1521
0.99633,23.0,3.42,5,1522
0.9953,29.0,3.34,5,1523
0.99522,22.0,3.39,6,1524
0.99552,18.0,3.33,5,1525
0.99553,18.0,3.3,6,1526
0.9951,15.0,3.29,6,1527
0.99714,21.0,3.31,6,1528
0.99608,42.0,3.42,6,1529
0.99444,9.0,3.42,6,1530
0.99631,13.0,3.6,5,1531
0.99573,18.0,3.21,6,1532
0.99717,32.0,3.39,5,1533
0.99397,13.0,3.42,7,1534
0.9959,15.0,3.36,6,1535
0.99528,24.0,3.6,6,1536
0.99484,20.0,3.5,6,1537
0.99538,15.0,3.57,5,1538
0.99714,34.0,3.46,5,1539
0.99646,11.0,3.56,6,1540
0.99666,19.0,3.4,7,1541
0.99472,29.0,3.3,6,1542
0.99758,14.0,3.25,6,1543
0.9955,12.0,3.17,7,1544
0.99531,16.0,3.36,6,1545
0.99575,17.0,3.36,5,1546
0.99306,12.0,3.55,5,1547
0.99783,19.0,3.1,5,1548
0.99419,17.0,3.24,8,1549
0.99783,17.0,3.45,5,1550
0.99768,18.0,3.44,5,1551
0.99586,32.0,3.51,6,1552
0.99765,18.0,3.41,5,1553
0.99627,15.0,3.54,6,1554
0.99514,15.0,3.44,7,1555
0.99636,12.0,3.53,5,1556
0.99627,15.0,3.54,6,1557
0.99787,66.0,3.22,5,1558
0.99622,31.0,3.21,5,1559
0.99622,31.0,3.21,5,1560
0.99622,31.0,3.21,5,1561
0.99546,12.0,3.29,5,1562
0.99546,12.0,3.29,5,1563
0.99546,12.0,3.29,5,1564
0.99489,26.0,3.39,6,1565
0.99494,24.0,3.34,6,1566
0.99546,12.0,3.29,5,1567
0.99629,25.0,3.34,5,1568
0.99396,15.0,3.48,6,1569
0.9934,19.0,3.37,6,1570
0.99514,15.0,3.44,6,1571
0.99632,35.0,3.33,5,1572
0.99467,15.0,3.58,6,1573
0.99677,23.0,3.39,6,1574
0.99474,12.0,3.26,6,1575
0.99588,16.0,3.3,6,1576
0.99622,13.0,3.54,6,1577
0.9954,13.0,3.42,6,1578
0.99402,24.0,3.54,5,1579
0.9947,9.0,3.36,6,1580
0.99402,24.0,3.54,5,1581
0.99362,13.0,3.57,5,1582
0.99578,32.0,3.33,5,1583
0.99484,24.0,3.29,7,1584
0.99494,22.0,3.3,6,1585
0.99492,34.0,3.34,6,1586
0.99483,18.0,3.55,6,1587
0.99414,34.0,3.27,6,1588
0.9977,29.0,3.29,5,1589
0.99314,26.0,3.32,6,1590
0.99402,16.0,3.67,6,1591
0.99574,29.0,3.42,6,1592
0.99651,28.0,3.42,6,1593
0.9949,32.0,3.45,5,1594
0.99512,39.0,3.52,6,1595
0.99574,29.0,3.42,6,1596
0.99547,32.0,3.57,5,1597
0.99549,18.0,3.39,6,1598
